property_id,lat,lng,addr_street,suburb,Lga,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,30_sep_cases,last_14_days_cases,last_30_days_cases,last_60_days_cases
88622,-37.950188,145.033774,20 Rose Street,HIGHETT,GREATER DANDENONG,19872.0,0.7374162095291182,37.0,1.0,36.0,9.0,6.0,3.0
73024,-37.840536,145.28896,16 Hilda Avenue,BORONIA,TOWONG,19870.0,1.835396995774095,41.0,1.0,0.0,0.0,0.0,0.0
82466,-38.000481,145.243729,9 ROGERS ST,EUMEMMERRING,PYRENEES,19885.0,2.9850753398085996,50.0,1.0,0.0,0.0,0.0,0.0
73203,-37.856825,145.29685,2/2 Ronald Crescent,BORONIA,TOWONG,19869.0,1.1675338778278683,44.0,1.0,0.0,0.0,0.0,0.0
88892,-37.947742,145.035566,441 Highett Road,HIGHETT,GREATER DANDENONG,19872.0,0.5587272359644144,37.0,1.0,36.0,9.0,6.0,3.0
16096,-37.704033,144.879578,48 Broadmeadows Road,TULLAMARINE,CENTRAL GOLDFIELDS,20032.0,3.3157008246596007,28.0,1.0,0.0,0.0,0.0,0.0
69893,-37.861214,145.109722,3 Newbury Ct,ASHWOOD,DAREBIN,19840.0,1.3947641843790914,not available,0.0,41.0,21.0,15.0,8.0
7780,-37.775263,144.803633,20 Sunhill Crescent,ARDEER,SWAN HILL,20004.0,1.8729034932220567,23.0,1.0,1.0,0.0,0.0,0.0
73131,-37.868314,145.288291,1A Daffodil Road,BORONIA,TOWONG,19869.0,0.9401017327965515,44.0,1.0,0.0,0.0,0.0,0.0
63228,-37.787086,145.302975,1/11 Laird Street,CROYDON,CARDINIA,19877.0,0.8692200103823139,46.0,1.0,25.0,10.0,5.0,3.0
88842,-37.955859,145.052702,39a Matthieson Street,HIGHETT,GREATER DANDENONG,19866.0,1.2122046504088086,40.0,1.0,36.0,9.0,6.0,3.0
45510,-37.695915,145.107971,8 Plenty River Drive,GREENSBOROUGH,GLEN EIRA,19985.0,0.8952181911098037,46.0,1.0,15.0,4.0,2.0,1.0
67619,-37.770931,145.351732,6 Wily Court,LILYDALE,FRANKSTON,19876.0,1.751878477955127,51.0,1.0,3.0,3.0,2.0,1.0
40136,-37.684024,145.054923,24 Daisy Drive,BUNDOORA,WODONGA,20007.0,3.6040930014275085,46.0,1.0,3.0,0.0,0.0,0.0
24486,-37.716149,144.97104,59 Lorne Street,FAWKNER,MONASH,19962.0,0.9396874731552347,28.0,1.0,16.0,4.0,3.0,2.0
79432,-37.936277,145.173879,9 Phillip Avenue,SPRINGVALE,GREATER BENDIGO,19913.0,2.3206115020974623,36.0,1.0,0.0,0.0,0.0,0.0
71479,-37.862076,145.237701,36 Sandhurst Road,WANTIRNA,CENTRAL GOLDFIELDS,19870.0,3.50513464679769,41.0,1.0,0.0,0.0,0.0,0.0
21957,-37.753517,144.97457,134 The Avenue,COBURG,MOONEE VALLEY,19966.0,1.127053901266262,21.0,1.0,41.0,17.0,12.0,6.0
27840,-37.595433,144.929872,80 Dianne Avenue,CRAIGIEBURN,YARRA RANGES,40221.0,1.382693606492061,41.0,1.0,5.0,3.0,2.0,1.0
45939,-37.726171,145.133012,2/36 Kirwana Grove,MONTMORENCY,PORT PHILLIP,19986.0,1.5780089758005758,48.0,1.0,25.0,8.0,5.0,3.0
38597,-37.760649,145.042956,13 Hawker Street,IVANHOE,BASS COAST,19933.0,0.9434770832383166,30.0,1.0,0.0,0.0,0.0,0.0
