order_id,restaurant_id,customer_id,carrier_id,customer_lat,customer_lon,date,time,is_peak_time,is_weekend,carrier_vehicle,shopping_cart,coupon_discount,order_price,shortest_distance_to_customer,travel_time_minutes,restaurant_rating,delivery_charges
ORD148435,REST0070,CUST11388,COUR2617,-37.8093671,144.97195969999999,2020-06-30,04:32:58,0,0,Bike,"[('laksa soup', 1), ('veg fritters', 1), ('coffee', 1)]",10,31.005,554.0,3,,2.704
ORD313036,REST0538,CUST00715,COUR4316,-37.8046681,144.93521859999998,2020-02-10,07:50:46,0,0,Motorbike,"[('roti', 3), ('biryani', 1)]",0,86.05,8441.0,17,,4.0028
ORD296346,REST0538,CUST04030,COUR3575,-37.8195721,144.982696,2020-06-30,11:16:29,0,0,Car,"[('paratha', 2), ('roti', 2)]",40,44.82,,12,,
ORD314477,REST0070,CUST08198,COUR2279,-37.8168075,145.00735930000002,2020-11-26,08:30:19,0,0,Car,"[('veg fritters', 3), ('babycorn manchurian', 2), ('vegetarian', 2), ('noodles', 2)]",40,106.776,3784.0,9,,3.5635
ORD343136,REST0538,CUST05169,COUR1314,-37.8237,144.9563143,2020-08-25,04:32:58,0,0,Motorbike,"[('biryani', 3), ('chicken grill', 3), ('roti', 2), ('paratha', 2)]",40,121.23,,14,,
ORD028785,REST0538,CUST08649,COUR0313,-37.8107518,144.986085,2020-07-02,05:28:21,0,0,Motorbike,"[('masala papad', 1), ('chicken grill', 1), ('biryani', 2)]",0,65.39,3889.0,8,,3.8211
ORD218270,REST0538,CUST13557,COUR3275,-37.800051700000004,144.9745569,2020-01-14,23:32:18,0,0,Motorbike,"[('biryani', 3), ('chicken curry', 2), ('paratha', 3), ('chicken grill', 2)]",0,192.14,,10,,
ORD240524,REST0070,CUST07829,COUR2378,-37.8169429,144.98343469999998,2020-11-04,20:10:32,0,0,Motorbike,"[('coffee', 1), ('vegetarian', 2), ('babycorn manchurian', 3)]",20,93.576,1607.0,3,,3.1181
ORD156079,REST1563,CUST10970,COUR1757,-37.80878679999999,144.9485122,2020-07-17,12:19:46,1,0,Bike,"[('chicken biryani', 1), ('murgh ghee roast', 1), ('dal makhani', 3)]",0,94.76,2919.0,15,,5.7744
ORD060438,REST0172,CUST07807,COUR0427,-37.804233200000006,144.9939455,2020-07-17,20:34:17,0,0,Bike,"[('sev puri', 1), ('masala poori', 3), ('bhel puri', 2)]",0,121.92,,38,,
