"SQGDP1 Gross Domestic Product (GDP) summary, quarterly by state"
"Current-dollar Gross Domestic Product (GDP) (Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2015:Q1","2015:Q2","2015:Q3","2015:Q4"
"00000","United States",18003399.0,18223577.0,18347425.0,18378803.0
"01000","Alabama",197620.9,200190.9,201704.0,201274.1
"02000","Alaska",51408.5,51420.2,50413.2,49670.5
"04000","Arizona",293993.6,298042.6,299084.9,303338.7
"05000","Arkansas",116119.5,117385.4,118743.6,118688.7
"06000","California",2509478.7,2561022.0,2579679.4,2588392.9
"08000","Colorado",313637.6,317429.8,319625.3,321276.9
"09000","Connecticut",260068.0,262692.0,262875.5,263855.2
"10000","Delaware",71409.8,73021.8,71096.0,70663.8
"11000","District of Columbia",123155.7,124795.6,125345.2,126118.1
"12000","Florida",876348.1,892828.1,905127.1,916715.5
"13000","Georgia",505393.2,514250.3,519703.4,523665.2
"15000","Hawaii",81378.8,82229.9,83050.4,83916.9
"16000","Idaho",65882.9,65837.0,66389.1,66218.8
"17000","Illinois",785673.4,793300.4,802008.7,800322.0
"18000","Indiana",326529.0,330270.8,330323.0,330988.0
"19000","Iowa",176985.1,178681.1,180903.1,181267.5
"20000","Kansas",150375.3,153743.4,155454.2,156489.6
"21000","Kentucky",189660.0,193151.9,193965.1,194500.3
"22000","Louisiana",234423.2,233577.8,231800.1,227206.3
"23000","Maine",56325.1,57363.6,57904.8,58645.8
"24000","Maryland",365416.0,368105.1,372846.3,376705.7
"25000","Massachusetts",494016.2,502894.5,504730.8,511072.3
"26000","Michigan",464232.0,471942.1,477047.8,479375.8
"27000","Minnesota",330675.4,331184.4,334007.5,336395.9
"28000","Mississippi",104439.6,105403.9,106072.6,105795.4
"29000","Missouri",292034.2,294230.0,295812.5,293676.7
"30000","Montana",46061.1,46648.2,46689.4,45678.6
"31000","Nebraska",114443.4,115901.9,116458.6,115851.8
"32000","Nevada",139751.9,143247.0,144812.6,146404.5
"33000","New Hampshire",73893.0,75659.1,75969.5,77806.4
"34000","New Jersey",563068.3,568477.9,572532.3,572387.6
"35000","New Mexico",91288.1,91810.7,91490.1,90699.0
"36000","New York",1466074.9,1490925.5,1500666.7,1484816.2
"37000","North Carolina",495251.8,502062.4,506448.0,507471.3
"38000","North Dakota",56604.9,55529.3,54542.6,53599.5
"39000","Ohio",603440.1,609109.9,609917.9,614818.7
"40000","Oklahoma",186282.0,184067.3,184356.2,181856.2
"41000","Oregon",198568.1,200936.2,205179.3,206190.7
"42000","Pennsylvania",706173.5,711160.9,713463.6,716350.9
"44000","Rhode Island",55834.8,56491.3,56613.1,57303.6
"45000","South Carolina",199359.2,202174.8,206448.9,208018.8
"46000","South Dakota",46692.4,47115.0,47727.2,48987.4
"47000","Tennessee",316062.5,322938.4,327118.2,328514.8
"48000","Texas",1567401.6,1563001.9,1567179.7,1559914.1
"49000","Utah",145623.6,148330.2,149943.9,151773.2
"50000","Vermont",30308.1,30576.9,30863.4,30906.6
"51000","Virginia",476071.8,483744.6,488818.5,489488.2
"53000","Washington",461219.8,470199.1,477764.4,477627.8
"54000","West Virginia",70543.8,71512.9,70968.5,70238.3
"55000","Wisconsin",302149.4,305941.7,308276.2,309628.2
"56000","Wyoming",38273.0,38152.9,38061.3,36955.8
"91000","New England",970445.2,985677.3,988957.1,999590.0
"92000","Mideast",3295298.2,3336486.7,3355950.1,3347042.3
"93000","Great Lakes",2482023.9,2510564.9,2527573.6,2535132.7
"94000","Plains",1167810.8,1176385.0,1184905.7,1186268.3
"95000","Southeast",3781293.5,3839221.3,3876918.1,3891576.8
"96000","Southwest",2138965.3,2136922.5,2142110.9,2135808.0
"97000","Rocky Mountain",609478.2,616398.1,620709.0,621903.4
"98000","Far West",3441805.9,3509054.4,3540899.3,3552203.2
"Legend / Footnotes:"
"Last updated: June 25, 2021-- new statistics for 2021:Q1."
