"","GeoFips","states","Time_gdp","Quarterly_gdp"
"1","00000","United States",2015 Q1,18003399
"2","01000","Alabama",2015 Q1,197620.9
"3","02000","Alaska",2015 Q1,51408.5
"4","04000","Arizona",2015 Q1,293993.6
"5","05000","Arkansas",2015 Q1,116119.5
"6","06000","California",2015 Q1,2509478.7
"7","08000","Colorado",2015 Q1,313637.6
"8","09000","Connecticut",2015 Q1,260068
"9","10000","Delaware",2015 Q1,71409.8
"10","11000","District of Columbia",2015 Q1,123155.7
"11","12000","Florida",2015 Q1,876348.1
"12","13000","Georgia",2015 Q1,505393.2
"13","15000","Hawaii",2015 Q1,81378.8
"14","16000","Idaho",2015 Q1,65882.9
"15","17000","Illinois",2015 Q1,785673.4
"16","18000","Indiana",2015 Q1,326529
"17","19000","Iowa",2015 Q1,176985.1
"18","20000","Kansas",2015 Q1,150375.3
"19","21000","Kentucky",2015 Q1,189660
"20","22000","Louisiana",2015 Q1,234423.2
"21","23000","Maine",2015 Q1,56325.1
"22","24000","Maryland",2015 Q1,365416
"23","25000","Massachusetts",2015 Q1,494016.2
"24","26000","Michigan",2015 Q1,464232
"25","27000","Minnesota",2015 Q1,330675.4
"26","28000","Mississippi",2015 Q1,104439.6
"27","29000","Missouri",2015 Q1,292034.2
"28","30000","Montana",2015 Q1,46061.1
"29","31000","Nebraska",2015 Q1,114443.4
"30","32000","Nevada",2015 Q1,139751.9
"31","33000","New Hampshire",2015 Q1,73893
"32","34000","New Jersey",2015 Q1,563068.3
"33","35000","New Mexico",2015 Q1,91288.1
"34","36000","New York",2015 Q1,1466074.9
"35","37000","North Carolina",2015 Q1,495251.8
"36","38000","North Dakota",2015 Q1,56604.9
"37","39000","Ohio",2015 Q1,603440.1
"38","40000","Oklahoma",2015 Q1,186282
"39","41000","Oregon",2015 Q1,198568.1
"40","42000","Pennsylvania",2015 Q1,706173.5
"41","44000","Rhode Island",2015 Q1,55834.8
"42","45000","South Carolina",2015 Q1,199359.2
"43","46000","South Dakota",2015 Q1,46692.4
"44","47000","Tennessee",2015 Q1,316062.5
"45","48000","Texas",2015 Q1,1567401.6
"46","49000","Utah",2015 Q1,145623.6
"47","50000","Vermont",2015 Q1,30308.1
"48","51000","Virginia",2015 Q1,476071.8
"49","53000","Washington",2015 Q1,461219.8
"50","54000","West Virginia",2015 Q1,70543.8
"51","55000","Wisconsin",2015 Q1,302149.4
"52","56000","Wyoming",2015 Q1,38273
"53","91000","New England",2015 Q1,970445.2
"54","92000","Mideast",2015 Q1,3295298.2
"55","93000","Great Lakes",2015 Q1,2482023.9
"56","94000","Plains",2015 Q1,1167810.8
"57","95000","Southeast",2015 Q1,3781293.5
"58","96000","Southwest",2015 Q1,2138965.3
"59","97000","Rocky Mountain",2015 Q1,609478.2
"60","98000","Far West",2015 Q1,3441805.9
"61","00000","United States",2015 Q2,18223577
"62","01000","Alabama",2015 Q2,200190.9
"63","02000","Alaska",2015 Q2,51420.2
"64","04000","Arizona",2015 Q2,298042.6
"65","05000","Arkansas",2015 Q2,117385.4
"66","06000","California",2015 Q2,2561022
"67","08000","Colorado",2015 Q2,317429.8
"68","09000","Connecticut",2015 Q2,262692
"69","10000","Delaware",2015 Q2,73021.8
"70","11000","District of Columbia",2015 Q2,124795.6
"71","12000","Florida",2015 Q2,892828.1
"72","13000","Georgia",2015 Q2,514250.3
"73","15000","Hawaii",2015 Q2,82229.9
"74","16000","Idaho",2015 Q2,65837
"75","17000","Illinois",2015 Q2,793300.4
"76","18000","Indiana",2015 Q2,330270.8
"77","19000","Iowa",2015 Q2,178681.1
"78","20000","Kansas",2015 Q2,153743.4
"79","21000","Kentucky",2015 Q2,193151.9
"80","22000","Louisiana",2015 Q2,233577.8
"81","23000","Maine",2015 Q2,57363.6
"82","24000","Maryland",2015 Q2,368105.1
"83","25000","Massachusetts",2015 Q2,502894.5
"84","26000","Michigan",2015 Q2,471942.1
"85","27000","Minnesota",2015 Q2,331184.4
"86","28000","Mississippi",2015 Q2,105403.9
"87","29000","Missouri",2015 Q2,294230
"88","30000","Montana",2015 Q2,46648.2
"89","31000","Nebraska",2015 Q2,115901.9
"90","32000","Nevada",2015 Q2,143247
"91","33000","New Hampshire",2015 Q2,75659.1
"92","34000","New Jersey",2015 Q2,568477.9
"93","35000","New Mexico",2015 Q2,91810.7
"94","36000","New York",2015 Q2,1490925.5
"95","37000","North Carolina",2015 Q2,502062.4
"96","38000","North Dakota",2015 Q2,55529.3
"97","39000","Ohio",2015 Q2,609109.9
"98","40000","Oklahoma",2015 Q2,184067.3
"99","41000","Oregon",2015 Q2,200936.2
"100","42000","Pennsylvania",2015 Q2,711160.9
"101","44000","Rhode Island",2015 Q2,56491.3
"102","45000","South Carolina",2015 Q2,202174.8
"103","46000","South Dakota",2015 Q2,47115
"104","47000","Tennessee",2015 Q2,322938.4
"105","48000","Texas",2015 Q2,1563001.9
"106","49000","Utah",2015 Q2,148330.2
"107","50000","Vermont",2015 Q2,30576.9
"108","51000","Virginia",2015 Q2,483744.6
"109","53000","Washington",2015 Q2,470199.1
"110","54000","West Virginia",2015 Q2,71512.9
"111","55000","Wisconsin",2015 Q2,305941.7
"112","56000","Wyoming",2015 Q2,38152.9
"113","91000","New England",2015 Q2,985677.3
"114","92000","Mideast",2015 Q2,3336486.7
"115","93000","Great Lakes",2015 Q2,2510564.9
"116","94000","Plains",2015 Q2,1176385
"117","95000","Southeast",2015 Q2,3839221.3
"118","96000","Southwest",2015 Q2,2136922.5
"119","97000","Rocky Mountain",2015 Q2,616398.1
"120","98000","Far West",2015 Q2,3509054.4
"121","00000","United States",2015 Q3,18347425
"122","01000","Alabama",2015 Q3,201704
"123","02000","Alaska",2015 Q3,50413.2
"124","04000","Arizona",2015 Q3,299084.9
"125","05000","Arkansas",2015 Q3,118743.6
"126","06000","California",2015 Q3,2579679.4
"127","08000","Colorado",2015 Q3,319625.3
"128","09000","Connecticut",2015 Q3,262875.5
"129","10000","Delaware",2015 Q3,71096
"130","11000","District of Columbia",2015 Q3,125345.2
"131","12000","Florida",2015 Q3,905127.1
"132","13000","Georgia",2015 Q3,519703.4
"133","15000","Hawaii",2015 Q3,83050.4
"134","16000","Idaho",2015 Q3,66389.1
"135","17000","Illinois",2015 Q3,802008.7
"136","18000","Indiana",2015 Q3,330323
"137","19000","Iowa",2015 Q3,180903.1
"138","20000","Kansas",2015 Q3,155454.2
"139","21000","Kentucky",2015 Q3,193965.1
"140","22000","Louisiana",2015 Q3,231800.1
"141","23000","Maine",2015 Q3,57904.8
"142","24000","Maryland",2015 Q3,372846.3
"143","25000","Massachusetts",2015 Q3,504730.8
"144","26000","Michigan",2015 Q3,477047.8
"145","27000","Minnesota",2015 Q3,334007.5
