"","...1","Unnamed: 0","year","states","type","average_price","total_volume","type4046","type4225","type4770","total_bags","small_bags","large_bags","xlarge_bags"
"1",91,92,2015,"South Central","organic",1.41192307692308,3200055.17,1745499.11,306639.31,909.75,1147007,1106536.18,40470.82,0
"2",105,106,2015,"West","organic",1.53557692307692,10594013.97,3546759.09,4372048.03,6955.55,2668251.3,416843.63,2251407.67,0
"3",120,121,2016,"California","conventional",1.04615384615385,317488044.96,107234678.58,105314580.56,12231603.36,92707182.46,83648996.25,7698289.97,1359896.24
"4",158,159,2016,"Midsouth","conventional",1.18596153846154,149039722.46,32999512.08,68872659.74,5946431.74,41221118.9,35367431.27,5261682.26,592005.37
"5",178,179,2016,"Plains","conventional",1.12769230769231,92784507.04,41274384.31,27480439.29,780076.57,23249606.87,20846935.45,1844119.25,558552.17
"6",307,308,2017,"South Central","organic",1.37471698113208,7104671.46,1717104.19,315400.79,53.1,5072113.38,4699475.63,372637.75,0
"7",321,322,2017,"West","organic",1.68169811320755,12241845.79,1870206.29,2419325.29,10504.03,7941810.18,3570975.37,4368902.45,1932.36
"8",336,337,2018,"California","conventional",1.14918367346939,317494342.15,107416050.75,106290551.64,6123583.18,97664156.58,90121572.69,3587375.49,3955208.4
"9",374,375,2018,"Midsouth","conventional",1.16265306122449,183178801.84,46258580.06,61524093.93,1558601.1,73837526.75,61703378.8,11569159.96,564987.99
"10",394,395,2018,"Plains","conventional",1.10795918367347,107521568.06,45771729.34,28027585.13,580564.55,33141689.04,29317912.54,3526372.67,297403.83
"11",523,524,2019,"South Central","organic",1.45480769230769,7228271.97,1215916.36,180508.87,181861.15,5649983.59,4824460.13,825524.46,0
"12",537,538,2019,"West","organic",1.84942307692308,13834647.31,1090641.03,2538921.47,37201.06,10167883.75,5903195.69,4262092.05,2595.01
"13",552,553,2020,"California","conventional",1.17979166666667,357210950.91,102072535.22,47065086.84,9399863.46,198673463.39,105227013.68,76615620.71,16830830
"14",590,591,2020,"Midsouth","conventional",1.03520833333333,226642629.74,70876538.43,45196647.22,1045901.33,109523541.76,77870611.6,29943408.36,1709523.8
"15",610,611,2020,"Plains","conventional",0.995625,123778430.02,51187173.91,23940964.5,175392.28,48474901.33,39401233.81,6564947.4,2508717.12
