"","...1","Unnamed: 0","year","states","type","average_price","total_volume","type4046","type4225","type4770","total_bags","small_bags","large_bags","xlarge_bags"
"1",0,1,2015,"Albany","conventional",1.17192307692308,3962854.18,53969.48,3211741.19,34777.34,662366.17,644231.6,17997.07,137.5
"2",1,2,2015,"Albany","organic",1.90557692307692,67042.25,1667.41,8085.41,0,57289.43,57240.85,48.58,0
"3",2,3,2015,"Atlanta","conventional",1.05230769230769,22898015.09,18082575.7,1840105.14,39408.62,2935925.63,1862749.4,1072294.07,882.16
"4",3,4,2015,"Atlanta","organic",1.70884615384615,333683.03,97272.38,175345.41,0,61065.24,18744.96,42320.28,0
"5",4,5,2015,"Baltimore","conventional",1.16807692307692,39943357.44,2940393.6,25345911,2345450.61,9311602.23,9073242.93,234884.85,3474.45
"6",5,6,2015,"Baltimore","organic",1.56961538461538,702222.1,253894.78,231463.1,40151.79,176712.43,149249.48,27462.95,0
"7",6,7,2015,"Boise City","conventional",1.05403846153846,3686059.15,2388903.01,528537.73,276072.56,492545.85,472418.82,18415.62,1711.41
"8",7,8,2015,"Boise City","organic",1.69346153846154,98298.19,613.88,72182.67,12.98,25488.66,10298.62,15190.04,0
"9",8,9,2015,"Boston","conventional",1.14403846153846,27236591.83,243669.15,21314866.7,83574.34,5594481.64,5518834.79,75501.02,145.83
"10",9,10,2015,"Boston","organic",1.80307692307692,218399.81,2004.15,51809.16,353.33,164233.17,162115.93,2117.24,0
"11",10,11,2015,"Buffalo","conventional",1.40346153846154,5742221.75,79636.92,2610543.77,35211.13,3016829.93,2996494.38,20202.21,133.34
"12",11,12,2015,"Buffalo","organic",1.68576923076923,151012.85,1501.77,7003.76,0,142507.32,135972.08,6535.24,0
"13",14,15,2015,"Charlotte","conventional",1.14846153846154,9290931.7,1771420.61,2619231.54,2138497.73,2761781.82,2541845.63,219837.58,98.61
"14",15,16,2015,"Charlotte","organic",2.00307692307692,196411.72,14762.03,73904.56,58329.09,49416.04,49341.08,74.96,0
"15",16,17,2015,"Chicago","conventional",1.15365384615385,40321608.17,1802762.13,28242400.81,5690223.68,4586221.55,4390462.31,153117.17,42642.07
"16",17,18,2015,"Chicago","organic",1.65442307692308,1173108.36,41409.31,1098776.22,0,32922.83,30689.45,2233.38,0
"17",18,19,2015,"Cincinnati","conventional",0.977115384615385,11112325.63,232964.63,7445299.18,477197.73,2956864.09,1058309.77,1796300.96,102253.36
"18",19,20,2015,"Cincinnati","organic",1.4275,643850.37,15222.94,543933.84,0,84693.59,25282.2,59411.39,0
"19",20,21,2015,"Columbus","conventional",1.00807692307692,7585219.23,3660255.76,1725608.3,929260.68,1270094.49,971824.54,202581.53,95688.42
"20",21,22,2015,"Columbus","organic",1.53961538461538,264562.89,23519.46,168266.56,23.01,72753.86,20756.94,51996.92,0
