"","year","states","type","average_price","total_volume","type4046","type4225","type4770","total_bags","small_bags","large_bags","xlarge_bags"
"1",2015,"California","conventional",1.02038461538462,295437873.31,142843269.37,105761850.21,10464367.42,36368386.31,34078765.73,2090465.47,199155.11
"2",2015,"California","organic",1.61134615384615,5969559.8,2652009.31,2623722.32,98.41,693729.76,656128.13,37601.63,0
"3",2015,"Great Lakes","conventional",1.07769230769231,165276312.77,24881501.25,89832798.99,17282803.62,33279208.91,26068709.31,5799714.72,1410784.88
"4",2015,"Great Lakes","organic",1.57480769230769,4111662.38,292103.61,3041396.13,572.15,777590.49,394044.68,383545.81,0
"5",2015,"Midsouth","conventional",1.11961538461538,136705160.38,30500700.43,63785648.66,10636260.69,31782550.6,28839846.53,2856289.33,86414.74
"6",2015,"Midsouth","organic",1.58307692307692,3516756.06,368076.24,1793379.92,222391.53,1132908.37,807601.78,325306.59,0
"7",2015,"Northeast","conventional",1.21480769230769,200497187.55,5258552.21,146796219.59,757970.2,47684445.55,43308713.06,4358483.24,17249.25
"8",2015,"Northeast","organic",1.87269230769231,2881798.13,230818.17,970020.61,29605.54,1651353.81,1530399.57,120954.24,0
"9",2015,"Plains","conventional",1.07730769230769,85967020.91,44730969.92,25331730.52,908256.62,14996063.85,14393496.68,519057.4,83509.77
"10",2015,"Plains","organic",1.79846153846154,1671769.82,228231.58,842097.23,9568.2,591872.81,458989.17,132883.64,0
"11",2015,"South Central","conventional",0.812115384615385,287254538.82,161356914.02,85488372.6,5535902.05,34873350.15,28453748.05,6219047.73,200554.37
"12",2015,"South Central","organic",1.41192307692308,3200055.17,1745499.11,306639.31,909.75,1147007,1106536.18,40470.82,0
"13",2015,"Southeast","conventional",1.08423076923077,158471516.46,105248262.79,18626303.29,1761660.88,32835289.5,21529420.42,11299358.78,6510.3
"14",2015,"Southeast","organic",1.74519230769231,1623692.6,548586.88,426837.82,40443.54,607824.36,526361.9,81462.46,0
"15",2015,"West","conventional",0.94,294076305.66,127475596.06,111189423.75,5951648.12,49459637.73,35859556.76,13546516.13,53564.84
"16",2015,"West","organic",1.53557692307692,10594013.97,3546759.09,4372048.03,6955.55,2668251.3,416843.63,2251407.67,0
"17",2016,"California","conventional",1.04615384615385,317488044.96,107234678.58,105314580.56,12231603.36,92707182.46,83648996.25,7698289.97,1359896.24
"18",2016,"California","organic",1.61365384615385,8700337.95,1029345.54,4277625.9,909.36,3392457.15,3068319.08,324138.07,0
"19",2016,"Great Lakes","conventional",1.14192307692308,171353140.41,25357985.63,82006479.67,15140369.81,48848305.3,34287564.44,12511885.24,2048855.62
"20",2016,"Great Lakes","organic",1.41211538461538,6386889.46,279297.47,3604845.25,1057.68,2501689.06,852769.48,1648919.58,0
"21",2016,"Midsouth","conventional",1.18596153846154,149039722.46,32999512.08,68872659.74,5946431.74,41221118.9,35367431.27,5261682.26,592005.37
"22",2016,"Midsouth","organic",1.51576923076923,5220775.13,168107.52,2328124.86,135450.04,2589092.71,1537883.16,1051209.55,0
"23",2016,"Northeast","conventional",1.31942307692308,213418852.63,9317840.62,142192687.12,4063457.55,57844867.34,53691263.38,3641142.06,512461.9
"24",2016,"Northeast","organic",1.87192307692308,5512233.2,357929.19,1323684.84,66579.19,3764039.98,3253049.94,510990.04,0
"25",2016,"Plains","conventional",1.12769230769231,92784507.04,41274384.31,27480439.29,780076.57,23249606.87,20846935.45,1844119.25,558552.17
"26",2016,"Plains","organic",1.62730769230769,2457126.97,238318.25,967636.66,155224.84,1095947.22,625434.67,470512.55,0
"27",2016,"South Central","conventional",0.858269230769231,298001987.01,156335035.63,62610237.02,14052243.36,65004471,52540048.37,11134256.56,1330166.07
"28",2016,"South Central","organic",1.19557692307692,6096712.58,1967577.07,338537.35,16582.65,3774015.51,3283400.79,490614.72,0
"29",2016,"Southeast","conventional",1.07115384615385,195118756.43,93241301.39,38618899.81,769444.04,62489111.19,31914820,29720924.68,853366.51
"30",2016,"Southeast","organic",1.50269230769231,3002721.22,657284.6,604336.11,27169.03,1713931.48,1135392.49,578538.99,0
"31",2016,"West","conventional",0.915769230769231,333054378.15,116251344.39,81424967.34,7013635.26,128364431.16,82758806.85,45335652.23,269972.08
"32",2016,"West","organic",1.44596153846154,11522956.86,2236740.72,3671867.79,26785.86,5587562.49,2036082.92,3551479.57,0
"33",2017,"California","conventional",1.25301886792453,309227376.73,113423089.72,101966625.11,7710379.92,86127282.98,81759787.98,1549114.2,2818380.8
"34",2017,"California","organic",1.81471698113208,8417151.48,1526290.58,3180840.85,268.75,3709751.3,3517682.07,192069.23,0
"35",2017,"Great Lakes","conventional",1.33132075471698,180425782.36,32135540.78,69183503.75,13050141.33,66056594.5,42543989.36,21408279.38,2104326.76
"36",2017,"Great Lakes","organic",1.51792452830189,8928083.94,202487.68,3301766.04,98.79,5412599.8,3051652.96,2360946.84,0
"37",2017,"Midsouth","conventional",1.32547169811321,158505864.82,35236312.37,66310461.14,1706140.65,55252940.66,46996214.71,7657428.77,599296.18
"38",2017,"Midsouth","organic",1.71566037735849,7047686.31,186395.5,2289574.25,66944.13,4504724.12,3403869.27,1100854.85,0
"39",2017,"Northeast","conventional",1.50528301886792,212887297.47,13605233.64,139402773.59,1753763.28,58125526.96,47913041.05,9529229.06,683259.85
"40",2017,"Northeast","organic",1.88283018867925,11760003.74,925832.36,2776538.58,26356.05,8031276.75,7549951.02,481325.73,0
"41",2017,"Plains","conventional",1.30150943396226,96953228.08,44622421.79,24510667.23,506538.32,27313601.74,24120885.59,2744145.99,448570.16
"42",2017,"Plains","organic",1.71943396226415,3326803.33,168583.4,1043128.35,41905.22,2073033.95,1223799.04,849210.76,24.15
"43",2017,"South Central","conventional",0.950943396226415,318317944.31,167446927.3,58377765.01,2412745.3,90080508.7,67616270.9,21817423.52,646814.28
"44",2017,"South Central","organic",1.37471698113208,7104671.46,1717104.19,315400.79,53.1,5072113.38,4699475.63,372637.75,0
"45",2017,"Southeast","conventional",1.33415094339623,192639817.06,105626897.14,26548088.71,346463.12,60118367.09,36251017.22,22385954.57,1481392.3
"46",2017,"Southeast","organic",1.69018867924528,4097434.8,285124.34,955654.49,10897.81,2845758.16,1936577.04,909181.12,0
"47",2017,"West","conventional",1.09830188679245,332812570.31,117398723.8,74452341.68,5962860.42,134998645.41,81865880.81,52827919.71,304844.89
"48",2017,"West","organic",1.68169811320755,12241845.79,1870206.29,2419325.29,10504.03,7941810.18,3570975.37,4368902.45,1932.36
"49",2018,"California","conventional",1.14918367346939,317494342.15,107416050.75,106290551.64,6123583.18,97664156.58,90121572.69,3587375.49,3955208.4
"50",2018,"California","organic",1.76836734693878,10011704.35,1901586.46,3617215.35,67.47,4492835.07,4483263.16,9571.91,0
"51",2018,"Great Lakes","conventional",1.15469387755102,198787661.47,38495838.1,55777550.57,18963999.79,85550273.01,65480976.38,16992404.04,3076892.59
"52",2018,"Great Lakes","organic",1.42795918367347,11110463.88,261798.95,2389422.04,218.86,7544459.02,5822644.25,1721814.77,0
"53",2018,"Midsouth","conventional",1.16265306122449,183178801.84,46258580.06,61524093.93,1558601.1,73837526.75,61703378.8,11569159.96,564987.99
"54",2018,"Midsouth","organic",1.60795918367347,8886881.83,143511.19,2088784.95,27487,6617521.58,5782571.3,834950.28,0
