"","Date","total_volume","temperature","average_price"
"1",2015-01-01,22920432.83,9.22222222222222,1.10125
"2",2015-02-01,27136965.05,11.7777777777778,1.13375
"3",2015-03-01,29837948.8,13.8333333333333,1.2
"4",2015-04-01,22390827.22,13.7222222222222,1.3025
"5",2015-05-01,33034580.06,16,1.234
"6",2015-06-01,25175395.44,23.5555555555556,1.35375
"7",2015-07-01,23404583.13,23.8888888888889,1.48125
"8",2015-08-01,28580804.3,24.7222222222222,1.544
"9",2015-09-01,21248673.07,22.2777777777778,1.51625
"10",2015-10-01,19928057.44,18.3333333333333,1.50125
"11",2015-11-01,26589985.41,8.66666666666667,1.279
"12",2015-12-01,21159180.36,5.72222222222222,1.145
"13",2016-01-01,33482875.84,6.94444444444444,1.126
"14",2016-02-01,30822251.6,11,1.1075
"15",2016-03-01,26283057.12,11.3888888888889,1.16625
"16",2016-04-01,26697041.23,14.3888888888889,1.15125
"17",2016-05-01,35840687.86,16.7777777777778,1.124
"18",2016-06-01,27583891.49,23.0555555555556,1.27125
"19",2016-07-01,33050215.7,24.8888888888889,1.354
"20",2016-08-01,26458531.96,24.5555555555556,1.29875
"21",2016-09-01,24917535.33,20.8333333333333,1.445
"22",2016-10-01,23480940.13,15.8333333333333,1.798
"23",2016-11-01,16143478.36,11.5555555555556,1.79125
"24",2016-12-01,21427876.29,6.33333333333333,1.305
"25",2017-01-01,37480003.94,5.66666666666667,1.193
"26",2017-02-01,31333222.27,8.5,1.1375
"27",2017-03-01,22079037.72,11.8888888888889,1.41875
"28",2017-04-01,29907496.52,13.1111111111111,1.435
"29",2017-05-01,26762101.96,17.4444444444444,1.47625
"30",2017-06-01,27017832.45,22.6666666666667,1.455
"31",2017-07-01,29974347.27,26,1.669
"32",2017-08-01,20922086.56,25.5,1.9175
"33",2017-09-01,17707159.97,21,1.9175
"34",2017-10-01,22858592.87,16.6666666666667,1.828
"35",2017-11-01,20981459.77,11.8888888888889,1.57375
"36",2017-12-01,30621186.91,8.61111111111111,1.417
"37",2018-01-01,32446446.96,9.38888888888889,1.45
"38",2018-02-01,31445376.87,8.11111111111111,1.38875
"39",2018-03-01,27142235.36,9.44444444444444,1.3625
"40",2018-04-01,35177461,14,1.384
"41",2018-05-01,30349512.04,17.2222222222222,1.3525
"42",2018-06-01,28260845.33,21.8888888888889,1.4225
"43",2018-07-01,36461737.83,26.4444444444444,1.473
"44",2018-08-01,25364236.83,24.6666666666667,1.53375
"45",2018-09-01,30288636.34,21.7222222222222,1.613
"46",2018-10-01,24637158.06,16.0555555555556,1.42625
"47",2018-11-01,21599647.73,11.4444444444444,1.52625
"48",2018-12-01,4332752.15,7.11111111111111,1.83
"49",2019-01-01,29370491.67,7.83333333333333,1.4075
"50",2019-02-01,32495863.75,4.77777777777778,1.26375
"51",2019-03-01,36215888.48,9.38888888888889,1.366
"52",2019-04-01,28884256.67,14.5555555555556,1.43625
"53",2019-05-01,25716608.98,14.7777777777778,1.7475
"54",2019-06-01,32463940.94,21.7222222222222,1.761
"55",2019-07-01,23489436.49,24.1666666666667,1.99875
"56",2019-08-01,23775363.2,24.8888888888889,1.88375
"57",2019-09-01,32807363.08,20.5,1.629
"58",2019-10-01,25889737.51,14.8888888888889,1.4175
"59",2019-11-01,24419881.44,11.6666666666667,1.4225
"60",2019-12-01,28959360.35,6.88888888888889,1.421
"61",2020-01-01,28311217.04,7.38888888888889,1.45375
"62",2020-02-01,33613163.66,9.55555555555556,1.3825
"63",2020-03-01,34733931.79,8.88888888888889,1.625
"64",2020-04-01,30466690.82,13.6111111111111,1.5375
"65",2020-05-01,44711627.88,18.1111111111111,1.507
"66",2020-06-01,33660307.33,21.3333333333333,1.49375
"67",2020-07-01,33980883.35,24.7777777777778,1.52625
"68",2020-08-01,41630671.01,26,1.495
"69",2020-09-01,32248391.49,23.3333333333333,1.45875
"70",2020-10-01,28801800.1,19,1.39875
"71",2020-11-01,32495034.12,10.5,1.352
