Contiguous U.S. Statewide Average Temperature,,,,,,
Units: Degrees Fahrenheit,,,,,,
Missing: -99,Rank out of 127 Years,,,,,
Location ID,Location,Date,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
100,Alabama,201501,43.6,51,-1.5,45.1
100,Alabama,201502,41.3,10,-6.7,48
100,Alabama,201503,57.8,90,2.7,55.1
100,Alabama,201504,66,111,3.2,62.8
100,Alabama,201505,71.8,86,1.1,70.7
100,Alabama,201506,78.8,97,1.3,77.5
100,Alabama,201507,81.6,111,1.7,79.9
100,Alabama,201508,79,49,-0.3,79.3
100,Alabama,201509,74.4,58,-0.3,74.7
100,Alabama,201510,65,82,1.1,63.9
100,Alabama,201511,59.2,121,5.7,53.5
100,Alabama,201512,56.9,126,10.5,46.4
100,Alabama,201601,43,37,-2.1,45.1
100,Alabama,201602,49.8,86,1.8,48
100,Alabama,201603,59.7,111,4.6,55.1
100,Alabama,201604,63.6,81,0.8,62.8
100,Alabama,201605,70.2,53,-0.5,70.7
100,Alabama,201606,79.2,103,1.7,77.5
100,Alabama,201607,82,117,2.1,79.9
100,Alabama,201608,81.6,116,2.3,79.3
100,Alabama,201609,78.6,118,3.9,74.7
100,Alabama,201610,68.5,120,4.6,63.9
100,Alabama,201611,57.8,113,4.3,53.5
100,Alabama,201612,50.1,106,3.7,46.4
100,Alabama,201701,52.4,122,7.3,45.1
100,Alabama,201702,55.6,122,7.6,48
100,Alabama,201703,58.4,99,3.3,55.1
100,Alabama,201704,67.2,120,4.4,62.8
100,Alabama,201705,69.9,45,-0.8,70.7
100,Alabama,201706,75.8,20,-1.7,77.5
100,Alabama,201707,80.6,88,0.7,79.9
100,Alabama,201708,78.8,41,-0.5,79.3
100,Alabama,201709,73.4,43,-1.3,74.7
100,Alabama,201710,65.8,93,1.9,63.9
100,Alabama,201711,55.6,91,2.1,53.5
100,Alabama,201712,46.9,71,0.5,46.4
100,Alabama,201801,40.4,20,-4.7,45.1
100,Alabama,201802,58,127,10,48
100,Alabama,201803,55.4,68,0.3,55.1
100,Alabama,201804,59.5,10,-3.3,62.8
100,Alabama,201805,74.4,121,3.7,70.7
100,Alabama,201806,79.3,104,1.8,77.5
100,Alabama,201807,80.7,90,0.8,79.9
100,Alabama,201808,79.5,69,0.2,79.3
100,Alabama,201809,79.4,122,4.7,74.7
100,Alabama,201810,67.4,111,3.5,63.9
100,Alabama,201811,50.4,16,-3.1,53.5
100,Alabama,201812,49,88,2.6,46.4
100,Alabama,201901,46.5,80,1.4,45.1
100,Alabama,201902,56.1,123,8.1,48
100,Alabama,201903,55,59,-0.1,55.1
100,Alabama,201904,63.5,77,0.7,62.8
100,Alabama,201905,74.2,119,3.5,70.7
100,Alabama,201906,78.1,82,0.6,77.5
100,Alabama,201907,80.6,88,0.7,79.9
100,Alabama,201908,80.6,103,1.3,79.3
100,Alabama,201909,80.2,124,5.5,74.7
100,Alabama,201910,67.8,116,3.9,63.9
100,Alabama,201911,50.6,19,-2.9,53.5
100,Alabama,201912,51.3,115,4.9,46.4
100,Alabama,202001,49.7,109,4.6,45.1
100,Alabama,202002,51.1,97,3.1,48
100,Alabama,202003,63.6,125,8.5,55.1
100,Alabama,202004,62,48,-0.8,62.8
100,Alabama,202005,68.9,26,-1.8,70.7
100,Alabama,202006,77,44,-0.5,77.5
100,Alabama,202007,80.9,94,1,79.9
